TIME,S1,S2,S1_NORM,S2_NORM,THR1,THR2
60908,3431,3803,,,,
,,,,,,
61008,3496,3839,,,,
,,,,,,
61108,3593,3887,,,,
,,,,,,
61208,3413,3631,,,,
,,,,,,
61308,1687,1398,,,,
,,,,,,
61408,147,201,,,,
,,,,,,
61508,163,198,,,,
,,,,,,
61608,158,185,,,,
,,,,,,
61708,159,185,,,,
,,,,,,
61808,158,184,,,,
,,,,,,
61908,157,182,,,,
,,,,,,
62008,159,179,,,,
,,,,,,
62108,156,211,,,,
,,,,,,
62208,160,183,,,,
,,,,,,
62308,169,217,,,,
,,,,,,
62408,381,491,,,,
,,,,,,
62508,3559,3946,,,,
,,,,,,
62608,3535,3872,,,,
,,,,,,
62708,3474,3823,,,,
,,,,,,
62808,3449,3812,,,,
,,,,,,
62908,3447,3813,,,,
,,,,,,
63008,3447,3811,,,,
,,,,,,
63108,3447,3811,,,,
,,,,,,
63208,3447,3807,,,,
,,,,,,
63308,3449,3807,,,,
,,,,,,
63408,3483,3811,,,,
,,,,,,
63508,3447,3859,,,,
,,,,,,
63608,3466,3891,,,,
,,,,,,
63708,3448,3800,,,,
,,,,,,
63808,3450,3830,,,,
,,,,,,
63908,3447,3805,,,,
,,,,,,
64008,3448,3810,,,,
,,,,,,
64108,3574,3805,,,,
,,,,,,
64208,3447,3807,,,,
,,,,,,
64308,3449,3811,,,,
,,,,,,
64408,3455,3811,,,,
,,,,,,
64508,3455,3812,,,,
,,,,,,
64608,3517,3855,,,,
,,,,,,
64708,3565,3887,,,,
,,,,,,
64808,3124,3369,,,,
,,,,,,
64908,178,215,,,,
,,,,,,
65008,160,231,,,,
,,,,,,
65108,165,239,,,,
,,,,,,
65208,166,239,,,,
,,,,,,
65308,167,249,,,,
,,,,,,
65408,165,251,,,,
,,,,,,
65508,165,249,,,,
,,,,,,
65608,168,264,,,,
,,,,,,
65708,169,279,,,,
,,,,,,
65808,169,277,,,,
,,,,,,
65908,187,522,,,,
,,,,,,
66008,3547,3875,,,,
,,,,,,
66108,3539,3868,,,,
,,,,,,
66208,3471,3815,,,,
,,,,,,
66308,3423,3694,,,,
,,,,,,
66408,3433,3809,,,,
,,,,,,
66508,3447,3805,,,,
,,,,,,
66608,3447,3805,,,,
,,,,,,
66708,3447,3705,,,,
,,,,,,
66808,3445,3806,,,,
,,,,,,
66908,3449,3803,,,,
,,,,,,
67008,3445,3808,,,,
,,,,,,
67108,3440,3775,,,,
,,,,,,
67208,3447,3801,,,,
,,,,,,
67308,3447,3807,,,,
,,,,,,
67408,3448,3805,,,,
,,,,,,
67508,3454,3813,,,,
,,,,,,
67608,3516,3855,,,,
,,,,,,
67708,3549,3884,,,,
,,,,,,
67808,3165,3003,,,,
,,,,,,
67908,1748,719,,,,
,,,,,,
68008,149,160,,,,
,,,,,,
68108,139,147,,,,
,,,,,,
68208,143,151,,,,
,,,,,,
68308,142,149,,,,
,,,,,,
68408,143,148,,,,
,,,,,,
68508,143,150,,,,
,,,,,,
68608,144,149,,,,
,,,,,,
68708,142,165,,,,
,,,,,,
68808,143,147,,,,
,,,,,,
68908,152,159,,,,
,,,,,,
69008,3539,3855,,,,
,,,,,,
69108,3541,3867,,,,
,,,,,,
69208,3484,3823,,,,
,,,,,,
69308,3451,3811,,,,
,,,,,,
69408,3447,3806,,,,
,,,,,,
69508,3448,3802,,,,
,,,,,,
69608,3447,3797,,,,
,,,,,,
69708,3451,3805,,,,
,,,,,,
69808,3446,3813,,,,
,,,,,,
69908,3363,3805,,,,
,,,,,,
70008,3446,3803,,,,
,,,,,,
70108,3444,3815,,,,
,,,,,,
70208,3447,3805,,,,
,,,,,,
70308,3449,3806,,,,
,,,,,,
70408,3455,3813,,,,
,,,,,,
70508,3515,3855,,,,
,,,,,,
70608,3547,3877,,,,
,,,,,,
70708,3519,3839,,,,
,,,,,,
70808,2148,1679,,,,
,,,,,,
70908,181,252,,,,
,,,,,,
71008,169,209,,,,
,,,,,,
71108,175,229,,,,
,,,,,,
71208,173,221,,,,
,,,,,,
71308,181,228,,,,
,,,,,,
71408,180,231,,,,
,,,,,,
71508,179,219,,,,
,,,,,,
71608,175,227,,,,
,,,,,,
71708,173,229,,,,
,,,,,,
71808,175,227,,,,
,,,,,,
71908,179,239,,,,
,,,,,,
72008,2479,1941,,,,
,,,,,,
72108,3555,3881,,,,
,,,,,,
72208,3499,3839,,,,
,,,,,,
72308,3463,3829,,,,
,,,,,,
72408,3513,3803,,,,
,,,,,,
72508,3448,3811,,,,
,,,,,,
72608,3447,3918,,,,
,,,,,,
72708,3447,3803,,,,
,,,,,,
72808,3449,3805,,,,
,,,,,,
72908,3447,3804,,,,
,,,,,,
73008,3447,3807,,,,
,,,,,,
73108,3447,3805,,,,
,,,,,,
73208,3447,3805,,,,
,,,,,,
73308,3448,3805,,,,
,,,,,,
73408,3445,3805,,,,
,,,,,,
73508,3435,3793,,,,
,,,,,,
73608,3447,3785,,,,
,,,,,,
73708,3446,3800,,,,
,,,,,,
73808,3447,3815,,,,
,,,,,,
73908,3467,3816,,,,
,,,,,,
74008,3495,3872,,,,
,,,,,,
74108,3548,3882,,,,
,,,,,,
74208,3515,3827,,,,
,,,,,,
74308,3461,3321,,,,
,,,,,,
74408,181,138,,,,
,,,,,,
74508,135,147,,,,
,,,,,,
74608,143,157,,,,
,,,,,,
74708,137,153,,,,
,,,,,,
74808,109,155,,,,
,,,,,,
74908,163,159,,,,
,,,,,,
75008,147,159,,,,
,,,,,,
75108,147,155,,,,
,,,,,,
75208,147,159,,,,
,,,,,,
75308,149,157,,,,
,,,,,,
75408,147,159,,,,
,,,,,,
75508,149,163,,,,
,,,,,,
75608,149,159,,,,
,,,,,,
75708,150,160,,,,
,,,,,,
75808,150,160,,,,
,,,,,,
75908,155,159,,,,
,,,,,,
76008,173,163,,,,
,,,,,,
76108,151,155,,,,
,,,,,,
76208,153,169,,,,
,,,,,,
76308,149,163,,,,
,,,,,,
76408,151,160,,,,
,,,,,,
76508,135,165,,,,
,,,,,,
76608,151,157,,,,
,,,,,,
76708,151,163,,,,
,,,,,,
76808,151,163,,,,
,,,,,,
76908,151,163,,,,
,,,,,,
77008,151,163,,,,
,,,,,,
77108,117,165,,,,
,,,,,,
77208,151,165,,,,
,,,,,,
77308,148,157,,,,
,,,,,,
77408,153,157,,,,
,,,,,,
77508,153,191,,,,
,,,,,,
77608,153,163,,,,
,,,,,,
77708,171,164,,,,
,,,,,,
77808,164,159,,,,
,,,,,,
77908,153,166,,,,
,,,,,,
78008,152,167,,,,
,,,,,,
78108,153,167,,,,
,,,,,,
78208,153,167,,,,
,,,,,,
78308,153,168,,,,
,,,,,,
78408,154,167,,,,
,,,,,,
78508,153,167,,,,
,,,,,,
78608,152,173,,,,
,,,,,,
78708,152,169,,,,
,,,,,,
78808,154,170,,,,
,,,,,,
78908,153,170,,,,
,,,,,,
79008,152,175,,,,
,,,,,,
79108,152,152,,,,
,,,,,,
79208,153,169,,,,
,,,,,,
79308,155,169,,,,
,,,,,,
79408,155,169,,,,
,,,,,,
79508,153,167,,,,
,,,,,,
79608,153,167,,,,
,,,,,,
79708,158,167,,,,
,,,,,,
79808,152,163,,,,
,,,,,,
79908,164,153,,,,
,,,,,,
80008,152,168,,,,
,,,,,,
80108,153,171,,,,
,,,,,,
80208,171,169,,,,
,,,,,,
80308,155,168,,,,
,,,,,,
80408,153,167,,,,
,,,,,,
80508,154,167,,,,
,,,,,,
80608,152,169,,,,
,,,,,,
80708,153,167,,,,
,,,,,,
80808,153,169,,,,
,,,,,,
80908,155,167,,,,
,,,,,,
81008,127,171,,,,
,,,,,,
81108,169,173,,,,
,,,,,,
81208,154,156,,,,
,,,,,,
81308,153,165,,,,
,,,,,,
81408,153,166,,,,
,,,,,,
81508,153,168,,,,
,,,,,,
81608,153,155,,,,
,,,,,,
81708,153,169,,,,
,,,,,,
81808,155,169,,,,
